id	filename	md5	size	state
936fe961-2b21-45fb-9268-0a81229b61d7	TCGA-KL-8337-01Z-00-DX1.78306056-304b-44c3-87cd-46d3785b7204.svs	90db4b63aeb924dd025337faccbd231c	829531386	released
3507edaa-4313-47d1-9506-b86b04b6352b	TCGA-UW-A7GU-11Z-00-DX1.BC340CDF-7F82-4314-86BA-E003AE43389D.svs	fe81fbe95ffb8615a08521b355de7bd6	40098742	released
ebfa3d53-cd3d-4151-9dbc-53f835041529	TCGA-KL-8343-01Z-00-DX1.e5aeff79-6d98-4c53-923e-a8fe204fbb43.svs	1515dec6771d333a1b4e53274fd9c2af	1754386304	released
757e3a05-aa38-41a4-94a7-1656a1711c26	TCGA-KL-8334-01Z-00-DX1.bc0857e2-938f-497a-ab63-38bc87e1af30.svs	4f3d0cbba657e1bbc46cd57904b189b5	1373004210	released
cf85a701-43ae-4a10-a876-393debb82c8c	TCGA-KN-8433-01Z-00-DX1.4AE64138-3E04-46AC-B905-52CB71261230.svs	fb8d07d783bab0d963b07545c2494025	364251607	released
c8410290-d3b0-4eba-bd85-df373e4609e7	TCGA-NP-A5GZ-01Z-00-DX1.07B19B85-A1CE-4AF2-B3E2-C86D11FAC907.svs	31b6d0f3789bca838829da2db34456ee	135265752	released
1c044e70-8421-483d-997f-fba897ac32e4	TCGA-KO-8411-01Z-00-DX1.57A47A81-003C-4F34-B8FA-D1313114892F.svs	e8d1f4a61ffa749aa153d49733966119	843237399	released
714c5309-8170-426c-bbb7-0b72f3d6e6f7	TCGA-KN-8421-01Z-00-DX1.A90EB3F7-DE68-4078-BB5B-B35561F96071.svs	e7df2739223cf9dcfc784e9b07e54f11	456063677	released
7b1dab46-5c38-489c-910b-cc81cc8414fc	TCGA-KM-A7QK-01Z-00-DX1.8D69EA34-F28A-4267-8A82-159FB2B7008B.svs	b0e82bd4ea82fdb4a67d2f2348c9765e	1095633437	released
131e980c-45d5-427f-91aa-4623fce4103b	TCGA-KM-A7QE-01Z-00-DX1.82CBD529-FBB8-4969-A6E0-B563F0C9D73B.svs	e3918fbdb4838dd4ef2a710cb2ce717d	1212313199	released
6284adda-78aa-4829-a7e6-87ef3f4fe34e	TCGA-UW-A72I-01Z-00-DX1.EAA44029-3390-4AEF-8B86-E4A1F64E486C.svs	75b83796d49bfcf42b616af453875908	863630794	released
e0e8a3d4-111c-4a49-86f4-3f313f68059f	TCGA-KM-8443-01Z-00-DX1.A97D876A-6453-4335-B805-C54529D3915F.svs	8c2c98c259ff412c54d3585523b21436	1790237405	released
86f28d46-b90d-4c26-8b3a-5f5191cfc789	TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4.svs	409302800c0abc99cbde7aa21fcf76bf	1167128585	released
8801b932-9da4-47a8-bfda-d0266c372acc	TCGA-UW-A72Q-01Z-00-DX1.6EEF0E01-E576-4DCA-B613-451D0079EB13.svs	57f4fa48a9a94e2608c4b5e848dce148	495213450	released
b2f1d2d4-97e6-4bfb-996d-c4d25757a4cc	TCGA-KO-8410-01Z-00-DX1.95A5FA25-6C01-478E-8CAB-20DF56E8D01C.svs	3ee7659d9d7dca25913578b2581a4734	1331986235	released
8484e96c-d66a-45b0-bd54-f819f981e5b8	TCGA-UW-A7GG-11Z-00-DX1.35E063D3-7E85-4BEB-9807-26F96CE31364.svs	9c86d040d5182ee5608e5e65390743da	1164726682	released
88f9a508-015f-43f9-b1b9-c4c049439de6	TCGA-KM-8639-01Z-00-DX1.13E1C61C-16F6-4FC5-B1D2-DDBF7DE16639.svs	cebb4a3554b4eb4f2537a5459df6e4e3	2100421383	released
bbcdc726-723e-4c15-b278-1e491e5c3d39	TCGA-KL-8336-01Z-00-DX1.bfba9373-efa8-4573-8ee6-8ac961f0b65a.svs	95e97d430db6bc89a44a9a05ebe851e4	1245812512	released
672ebc1b-4b30-4438-a682-e19b722d34e4	TCGA-UW-A72O-01Z-00-DX1.755C4693-A9CE-48E7-A76B-DAECEE850D35.svs	14dd0e9905f6727d052d955a0fcda0f4	1072874874	released
2fed90bd-59e5-43e2-ab33-bc8628b33c34	TCGA-KL-8333-01Z-00-DX1.830e3f78-ba43-4b42-b2b5-f3be10d2b781.svs	02c3f08f131e492d8deffdcf4f669f01	1866348416	released
162d4ce3-7019-41e4-9b6e-78df1c13e567	TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D.svs	31c6b002dc39e5378f9072d19d32dc3f	966695683	released
aa5beadd-b0b6-46a6-9a64-ffe50e5b6079	TCGA-KO-8409-01Z-00-DX1.C73F6879-81C2-4D2D-9673-4989AADB568D.svs	9ec267201310a5768d62553e349b8751	1241793801	released
773d7125-dfde-42ce-a260-43ef1ae7b889	TCGA-KO-8406-01Z-00-DX1.F9FDAB2C-9EEC-41D0-A29C-530107B96AC2.svs	f2daccf0b3a24f6f5e0540d945e81097	1173741371	released
e13787ac-038c-47f6-9975-b486c28a5305	TCGA-KO-8408-01Z-00-DX1.4D45F809-E93A-4221-832A-97C3A4B4E30C.svs	fc1540266a493812f387fb6f448d63d1	1268096819	released
1e7568fe-33e6-4421-a952-835fcef3772e	TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538.svs	6daf1b87a43214b528de454a4cf68d83	728488842	released
4593535f-69a3-4bf3-937c-a43d83ccf259	TCGA-KL-8338-01Z-00-DX1.c3febc9e-8adc-49e0-9ce1-9d2dcc79c09c.svs	51293042d4fbd0722bc46094b25b68be	1356107726	released
